"table1.customerid","table1.dominant_gender","table1.max_gender","table2.dominant_size","table2.max_size","table3.last_purchase"
"10001146","Homme","2","42","2","2015-11-01 20:09:07.0"
"10003780","Femme","2","37","1","2015-11-01 14:40:11.0"
"10003780","Femme","2","38","1","2015-11-01 14:40:11.0"
"10008162","Femme","1","40","1","2015-11-01 15:50:09.0"
"10013372","Femme","1","38","1","2015-11-01 22:12:01.0"
"10014532","Femme","1","40","1","2015-11-01 16:28:19.0"
"10018678","Femme","1","36","1","2015-11-01 21:02:04.0"
"10023443","Enfant","1","38","1","2015-11-01 21:18:18.0"
"10023443","Femme","1","38","1","2015-11-01 21:18:18.0"
"10029665","Femme","1","38","1","2015-11-01 15:09:18.0"
"10036580","Femme","2","39","1","2015-11-01 14:02:03.0"
"10036580","Femme","2","40","1","2015-11-01 14:02:03.0"
"10036743","Femme","1","36","1","2015-11-01 19:34:07.0"
"10039552","Femme","1","39","1","2015-11-01 15:23:10.0"
"10040205","Femme","1","40","1","2015-11-01 10:13:17.0"
"10043948","Femme","5","38","5","2015-11-01 11:14:11.0"
"10049876","Femme","1","36","1","2015-11-01 20:56:14.0"
"10050896","Femme","2","39","2","2015-11-01 08:19:05.0"
"10060979","Femme","1","","0","2015-11-01 10:50:01.0"
"10068485","Enfant","2","35","1","2015-11-01 20:48:03.0"
"10068485","Enfant","2","37","1","2015-11-01 20:48:03.0"
"10068485","Enfant","2","36","1","2015-11-01 20:48:03.0"
"10069813","Femme","1","40","1","2015-11-01 17:50:08.0"
"10076078","Femme","1","","0","2015-11-01 12:08:07.0"
"10076566","Femme","1","38","1","2015-11-01 15:19:04.0"
"10078848","Femme","1","39","1","2015-11-01 19:27:00.0"
"10079806","Femme","1","40","1","2015-11-01 13:52:00.0"
"10080892","Femme","2","40","1","2015-11-01 16:18:08.0"
"10080892","Femme","2","41","1","2015-11-01 16:18:08.0"
"10092155","Homme","1","","0","2015-11-01 11:33:10.0"
"10101107","Homme","2","40","1","2015-11-01 15:34:04.0"
"10101107","Homme","2","43","1","2015-11-01 15:34:04.0"
"10101107","Homme","2","42","1","2015-11-01 15:34:04.0"
"10106250","Femme","3","39","2","2015-11-01 07:24:03.0"
"10106250","Femme","3","38","2","2015-11-01 07:24:03.0"
"10107400","Homme","3","43","2","2015-11-01 22:13:17.0"
"10129413","Femme","1","41","1","2015-11-01 18:58:13.0"
"10129413","Enfant","1","41","1","2015-11-01 18:58:13.0"
"10134259","Enfant","2","28","1","2015-11-01 14:03:00.0"
"10134259","Enfant","2","32","1","2015-11-01 14:03:00.0"
"10137627","Femme","1","42","1","2015-11-01 19:01:02.0"
"10142960","Femme","1","42","1","2015-11-01 12:23:17.0"
"10143043","Femme","5","38","5","2015-11-01 23:07:06.0"
"10143118","Enfant","1","34","1","2015-11-01 10:13:11.0"
"10155009","Femme","1","40","1","2015-11-01 22:26:05.0"
"10155009","Sacs","1","40","1","2015-11-01 22:26:05.0"
"10156560","Femme","1","","0","2015-11-01 21:47:19.0"
"10159581","Femme","1","37","1","2015-11-01 18:01:19.0"
"10162752","Femme","3","36","2","2015-11-01 18:29:02.0"
"10169621","Femme","1","37","1","2015-11-01 11:34:17.0"
"10176039","Homme","1","44","1","2015-11-01 11:32:03.0"
"10182627","Femme","2","38","1","2015-11-01 10:46:08.0"
"10184219","Femme","1","38","1","2015-11-01 20:30:09.0"
"10186179","Femme","1","40","1","2015-11-01 11:42:12.0"
"10186754","Femme","1","42","1","2015-11-01 16:52:00.0"
"10186754","Femme","1","43","1","2015-11-01 16:52:00.0"
"10186754","Homme","1","42","1","2015-11-01 16:52:00.0"
"10186754","Homme","1","43","1","2015-11-01 16:52:00.0"
"10187638","Femme","1","39","1","2015-11-01 10:33:02.0"
"10192273","Homme","2","","0","2015-11-01 09:11:10.0"
"10197762","Femme","1","38","1","2015-11-01 08:42:07.0"
"10199118","Femme","1","39","1","2015-11-01 16:56:17.0"
"10202843","Femme","1","41","1","2015-11-01 10:35:15.0"
"10202889","Homme","1","45","1","2015-11-01 11:43:03.0"
"10213006","Homme","1","42","1","2015-11-01 11:11:02.0"
"10214435","Femme","2","41","3","2015-11-01 22:25:00.0"
"10227797","Homme","1","42","1","2015-11-01 13:03:15.0"
"10233868","Femme","2","38","2","2015-11-01 17:57:13.0"
"10234997","Enfant","1","33","1","2015-11-01 11:34:18.0"
"10237282","Accessoires","2","42","2","2015-11-01 19:53:15.0"
"10237282","Femme","2","42","2","2015-11-01 19:53:15.0"
"10241216","Femme","2","40","2","2015-11-01 21:38:00.0"
"10246148","Femme","1","39","1","2015-11-01 22:09:19.0"
"10247399","Femme","1","38","1","2015-11-01 23:10:07.0"
"10250401","Femme","1","39","1","2015-11-01 16:01:17.0"
"10255441","Femme","1","40","1","2015-11-01 16:18:08.0"
"10256342","Homme","2","41","2","2015-11-01 19:04:13.0"
"10256950","Femme","1","42","1","2015-11-01 17:12:04.0"
"10259180","Enfant","1","23","1","2015-11-01 08:01:17.0"
